"Statistic Label","Census Year","CSO Electoral Divisions 2022","Age","Sex","UNIT","VALUE"
"Population","2022","Ballintemple, Carlow","Age 0-4","Males","Number","13"
"Population","2022","Ballintemple, Carlow","Age 0-4","Females","Number","21"
"Population","2022","Ballintemple, Carlow","Age 0-4","Both Sexes","Number","34"
"Population","2022","Ballintemple, Carlow","Age 5-9","Males","Number","26"
"Population","2022","Ballintemple, Carlow","Age 5-9","Females","Number","20"
"Population","2022","Ballintemple, Carlow","Age 5-9","Both Sexes","Number","46"
"Population","2022","Ballintemple, Carlow","Age 10-14","Males","Number","19"
"Population","2022","Ballintemple, Carlow","Age 10-14","Females","Number","20"
"Population","2022","Ballintemple, Carlow","Age 10-14","Both Sexes","Number","39"
"Population","2022","Ballintemple, Carlow","Age 15-19","Males","Number","21"
"Population","2022","Ballintemple, Carlow","Age 15-19","Females","Number","26"
"Population","2022","Ballintemple, Carlow","Age 15-19","Both Sexes","Number","47"
"Population","2022","Ballintemple, Carlow","Age 20-24","Males","Number","7"
"Population","2022","Ballintemple, Carlow","Age 20-24","Females","Number","14"
"Population","2022","Ballintemple, Carlow","Age 20-24","Both Sexes","Number","21"
"Population","2022","Ballintemple, Carlow","Age 25-29","Males","Number","13"
"Population","2022","Ballintemple, Carlow","Age 25-29","Females","Number","10"
"Population","2022","Ballintemple, Carlow","Age 25-29","Both Sexes","Number","23"
"Population","2022","Ballintemple, Carlow","Age 30-34","Males","Number","11"
"Population","2022","Ballintemple, Carlow","Age 30-34","Females","Number","16"
"Population","2022","Ballintemple, Carlow","Age 30-34","Both Sexes","Number","27"
"Population","2022","Ballintemple, Carlow","Age 35-39","Males","Number","24"
"Population","2022","Ballintemple, Carlow","Age 35-39","Females","Number","19"
"Population","2022","Ballintemple, Carlow","Age 35-39","Both Sexes","Number","43"
"Population","2022","Ballintemple, Carlow","Age 40-44","Males","Number","23"
"Population","2022","Ballintemple, Carlow","Age 40-44","Females","Number","29"
"Population","2022","Ballintemple, Carlow","Age 40-44","Both Sexes","Number","52"
"Population","2022","Ballintemple, Carlow","Age 45-49","Males","Number","26"
"Population","2022","Ballintemple, Carlow","Age 45-49","Females","Number","21"
"Population","2022","Ballintemple, Carlow","Age 45-49","Both Sexes","Number","47"
"Population","2022","Ballintemple, Carlow","Age 50-54","Males","Number","14"
"Population","2022","Ballintemple, Carlow","Age 50-54","Females","Number","20"
"Population","2022","Ballintemple, Carlow","Age 50-54","Both Sexes","Number","34"
"Population","2022","Ballintemple, Carlow","Age 55-59","Males","Number","30"
"Population","2022","Ballintemple, Carlow","Age 55-59","Females","Number","24"
"Population","2022","Ballintemple, Carlow","Age 55-59","Both Sexes","Number","54"
"Population","2022","Ballintemple, Carlow","Age 60-64","Males","Number","17"
"Population","2022","Ballintemple, Carlow","Age 60-64","Females","Number","28"
"Population","2022","Ballintemple, Carlow","Age 60-64","Both Sexes","Number","45"
"Population","2022","Ballintemple, Carlow","Age 65-69","Males","Number","20"
"Population","2022","Ballintemple, Carlow","Age 65-69","Females","Number","16"
"Population","2022","Ballintemple, Carlow","Age 65-69","Both Sexes","Number","36"
"Population","2022","Ballintemple, Carlow","Age 70-74","Males","Number","6"
"Population","2022","Ballintemple, Carlow","Age 70-74","Females","Number","4"
"Population","2022","Ballintemple, Carlow","Age 70-74","Both Sexes","Number","10"
"Population","2022","Ballintemple, Carlow","Age 75-79","Males","Number","10"
"Population","2022","Ballintemple, Carlow","Age 75-79","Females","Number","10"
"Population","2022","Ballintemple, Carlow","Age 75-79","Both Sexes","Number","20"
"Population","2022","Ballintemple, Carlow","Age 80-84","Males","Number","7"
"Population","2022","Ballintemple, Carlow","Age 80-84","Females","Number","8"
"Population","2022","Ballintemple, Carlow","Age 80-84","Both Sexes","Number","15"
"Population","2022","Ballintemple, Carlow","Age 85 and over","Males","Number","3"
"Population","2022","Ballintemple, Carlow","Age 85 and over","Females","Number","3"
"Population","2022","Ballintemple, Carlow","Age 85 and over","Both Sexes","Number","6"
"Population","2022","Ballintemple, Carlow","Total","Males","Number","290"
"Population","2022","Ballintemple, Carlow","Total","Females","Number","309"
"Population","2022","Ballintemple, Carlow","Total","Both Sexes","Number","599"
